No.,Name,Unit,Time_ms,Conversion
584,Yaw rate,deg/s,-2500,E=N*0.1-300
585,Yaw rate,deg/s,-2500,Subsequent
586,Yaw rate,deg/s,-2000,E=N*0.1-300
587,Yaw rate,deg/s,-2000,Subsequent
588,Yaw rate,deg/s,-1500,E=N*0.1-300
589,Yaw rate,deg/s,-1500,Subsequent
590,Yaw rate,deg/s,-1000,E=N*0.1-300
591,Yaw rate,deg/s,-1000,Subsequent
592,Yaw rate,deg/s,-500,E=N*0.1-300
593,Yaw rate,deg/s,-500,Subsequent
594,Yaw rate,deg/s,0,E=N*0.1-300
595,Yaw rate,deg/s,0,Subsequent
596,Steering input,deg,-5000,E=N*5-780
597,Steering input,deg,-5000,Subsequent
598,Steering input,deg,-4500,E=N*5-780
599,Steering input,deg,-4500,Subsequent
600,Steering input,deg,-4000,E=N*5-780
601,Steering input,deg,-4000,Subsequent
602,Steering input,deg,-3500,E=N*5-780
603,Steering input,deg,-3500,Subsequent
604,Steering input,deg,-3000,E=N*5-780
605,Steering input,deg,-3000,Subsequent
606,Steering input,deg,-2500,E=N*5-780
607,Steering input,deg,-2500,Subsequent
608,Steering input,deg,-2000,E=N*5-780
609,Steering input,deg,-2000,Subsequent
610,Steering input,deg,-1500,E=N*5-780
611,Steering input,deg,-1500,Subsequent
612,Steering input,deg,-1000,E=N*5-780
613,Steering input,deg,-1000,Subsequent
614,Steering input,deg,-500,E=N*5-780
615,Steering input,deg,-500,Subsequent
616,Steering input,deg,0,E=N*5-780
617,Steering input,deg,0,Subsequent
618,Time end,ms,N/A,E=N*2.5
619,Year,N/A,N/A,E=N+2000
620,Month,N/A,N/A,E=N
621,Day,N/A,N/A,E=N
622,Hour,N/A,N/A,E=N
623,Minute,N/A,N/A,E=N
624,Second,N/A,N/A,E=N
625,Gear position,N/A,-5000,"0: P, 1: R, 2: N, 3: D"
626,Gear position,N/A,-4500,"0: P, 1: R, 2: N, 3: D"
627,Gear position,N/A,-4000,"0: P, 1: R, 2: N, 3: D"
628,Gear position,N/A,-3500,"0: P, 1: R, 2: N, 3: D"
629,Gear position,N/A,-3000,"0: P, 1: R, 2: N, 3: D"
630,Gear position,N/A,-2500,"0: P, 1: R, 2: N, 3: D"
631,Gear position,N/A,-2000,"0: P, 1: R, 2: N, 3: D"
632,Gear position,N/A,-1500,"0: P, 1: R, 2: N, 3: D"
633,Gear position,N/A,-1000,"0: P, 1: R, 2: N, 3: D"
634,Gear position,N/A,-500,"0: P, 1: R, 2: N, 3: D"
635,Gear position,N/A,0,"0: P, 1: R, 2: N, 3: D"
636,Engine throttle position,%,-5000,E=N
637,Engine throttle position,%,-4500,E=N
638,Engine throttle position,%,-4000,E=N
639,Engine throttle position,%,-3500,E=N
640,Engine throttle position,%,-3000,E=N
641,Engine throttle position,%,-2500,E=N
642,Engine throttle position,%,-2000,E=N
643,Engine throttle position,%,-1500,E=N
644,Engine throttle position,%,-1000,E=N
645,Engine throttle position,%,-500,E=N
646,Engine throttle position,%,0,E=N
647,Brake pedal position,%,-5000,E=N*5
648,Brake pedal position,%,-4500,E=N*5
649,Brake pedal position,%,-4000,E=N*5
650,Brake pedal position,%,-3500,E=N*5
651,Brake pedal position,%,-3000,E=N*5
652,Brake pedal position,%,-2500,E=N*5
653,Brake pedal position,%,-2000,E=N*5
654,Brake pedal position,%,-1500,E=N*5
655,Brake pedal position,%,-1000,E=N*5
656,Brake pedal position,%,-500,E=N*5
657,Brake pedal position,%,0,E=N*5
658,Parking system status,N/A,-5000,"0: On, 1: Off, 2: Faulted"
659,Parking system status,N/A,-4500,"0: On, 1: Off, 2: Faulted"
660,Parking system status,N/A,-4000,"0: On, 1: Off, 2: Faulted"
661,Parking system status,N/A,-3500,"0: On, 1: Off, 2: Faulted"
662,Parking system status,N/A,-3000,"0: On, 1: Off, 2: Faulted"
663,Parking system status,N/A,-2500,"0: On, 1: Off, 2: Faulted"
664,Parking system status,N/A,-2000,"0: On, 1: Off, 2: Faulted"
665,Parking system status,N/A,-1500,"0: On, 1: Off, 2: Faulted"
666,Parking system status,N/A,-1000,"0: On, 1: Off, 2: Faulted"
667,Parking system status,N/A,-500,"0: On, 1: Off, 2: Faulted"
668,Parking system status,N/A,0,"0: On, 1: Off, 2: Faulted"
669,Turn signal switch status,N/A,-5000,"0: Off, 1: Left, 2, Right, Both"
670,Turn signal switch status,N/A,-4500,"0: Off, 1: Left, 2, Right, Both"
671,Turn signal switch status,N/A,-4000,"0: Off, 1: Left, 2, Right, Both"
672,Turn signal switch status,N/A,-3500,"0: Off, 1: Left, 2, Right, Both"
673,Turn signal switch status,N/A,-3000,"0: Off, 1: Left, 2, Right, Both"
674,Turn signal switch status,N/A,-2500,"0: Off, 1: Left, 2, Right, Both"
675,Turn signal switch status,N/A,-2000,"0: Off, 1: Left, 2, Right, Both"
676,Turn signal switch status,N/A,-1500,"0: Off, 1: Left, 2, Right, Both"
677,Turn signal switch status,N/A,-1000,"0: Off, 1: Left, 2, Right, Both"
678,Turn signal switch status,N/A,-500,"0: Off, 1: Left, 2, Right, Both"
679,Turn signal switch status,N/A,0,"0: Off, 1: Left, 2, Right, Both"
680,"Time to activate pretensioner, driver",ms,N/A,E=N
681,"Time to activate pretensioner, driver",ms,N/A,Subsequent
682,"Time to activate front airbag (first stage), driver",ms,N/A,E=N
683,"Time to activate front airbag (first stage), driver",ms,N/A,Subsequent
684,"Time to activate front airbag (second stage), driver",ms,N/A,E=N
685,"Time to activate front airbag (second stage), driver",ms,N/A,Subsequent
686,"Time to activate side airbag, driver",ms,N/A,E=N
687,"Time to activate side airbag, driver",ms,N/A,Subsequent
688,"Time to activate side curtain airbag, driver",ms,N/A,E=N
689,"Time to activate side curtain airbag, driver",ms,N/A,Subsequent
690,"Seat belt status, front passenger",N/A,N/A,"0: Fastened, 1: Not fastened"
691,"Time to activate pretensioner, front passenger",ms,N/A,E=N
692,"Time to activate pretensioner, front passenger",ms,N/A,Subsequent
693,Front passenger airbag suppression status,N/A,N/A,"0: Not suppressed, 1: Suppressed"
694,"Time to activate front airbag (first stage), front passenger",ms,N/A,E=N
695,"Time to activate front airbag (first stage), front passenger",ms,N/A,Subsequent
696,"Time to activate front airbag (second stage), front passenger",ms,N/A,E=N
697,"Time to activate front airbag (second stage), front passenger",ms,N/A,Subsequent
698,"Time to activate side airbag, front passenger",ms,N/A,E=N
699,"Time to activate side airbag, front passenger",ms,N/A,Subsequent
700,"Time to activate side curtain airbag, front passenger",ms,N/A,E=N
701,"Time to activate side curtain airbag, front passenger",ms,N/A,Subsequent
702,Occupant safety system warning state,N/A,N/A,"0: Off, 1: On"
703,Tire pressure monitoring system warning status,N/A,N/A,"0: Off, 1: On"
704,Brake system warning status,N/A,N/A,"0: Off, 1: On"
705,Cruise control system status,N/A,-5000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
706,Cruise control system status,N/A,-4500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
707,Cruise control system status,N/A,-4000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
708,Cruise control system status,N/A,-3500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
709,Cruise control system status,N/A,-3000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
710,Cruise control system status,N/A,-2500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
711,Cruise control system status,N/A,-2000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
712,Cruise control system status,N/A,-1500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
713,Cruise control system status,N/A,-1000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
714,Cruise control system status,N/A,-500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
715,Cruise control system status,N/A,0,"0: On, 1: Engaged, 2: Off, 3: Faulted"
716,Adaptive cruise control system status,N/A,-5000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
717,Adaptive cruise control system status,N/A,-4500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
718,Adaptive cruise control system status,N/A,-4000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
719,Adaptive cruise control system status,N/A,-3500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
720,Adaptive cruise control system status,N/A,-3000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
721,Adaptive cruise control system status,N/A,-2500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
722,Adaptive cruise control system status,N/A,-2000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
723,Adaptive cruise control system status,N/A,-1500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
724,Adaptive cruise control system status,N/A,-1000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
725,Adaptive cruise control system status,N/A,-500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
726,Adaptive cruise control system status,N/A,0,"0: On, 1: Engaged, 2: Off, 3: Faulted"
727,Anti lock brake system status,N/A,-5000,"0: On, 1: Engaged, 2: Faulted"
728,Anti lock brake system status,N/A,-4500,"0: On, 1: Engaged, 2: Faulted"
729,Anti lock brake system status,N/A,-4000,"0: On, 1: Engaged, 2: Faulted"
730,Anti lock brake system status,N/A,-3500,"0: On, 1: Engaged, 2: Faulted"
731,Anti lock brake system status,N/A,-3000,"0: On, 1: Engaged, 2: Faulted"
732,Anti lock brake system status,N/A,-2500,"0: On, 1: Engaged, 2: Faulted"
733,Anti lock brake system status,N/A,-2000,"0: On, 1: Engaged, 2: Faulted"
734,Anti lock brake system status,N/A,-1500,"0: On, 1: Engaged, 2: Faulted"
735,Anti lock brake system status,N/A,-1000,"0: On, 1: Engaged, 2: Faulted"
736,Anti lock brake system status,N/A,-500,"0: On, 1: Engaged, 2: Faulted"
737,Anti lock brake system status,N/A,0,"0: On, 1: Engaged, 2: Faulted"
738,Automatic emergency braking system status,N/A,-5000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
739,Automatic emergency braking system status,N/A,-4500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
740,Automatic emergency braking system status,N/A,-4000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
741,Automatic emergency braking system status,N/A,-3500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
742,Automatic emergency braking system status,N/A,-3000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
743,Automatic emergency braking system status,N/A,-2500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
744,Automatic emergency braking system status,N/A,-2000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
745,Automatic emergency braking system status,N/A,-1500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
746,Automatic emergency braking system status,N/A,-1000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
747,Automatic emergency braking system status,N/A,-500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
748,Automatic emergency braking system status,N/A,0,"0: On, 1: Engaged, 2: Off, 3: Faulted"
749,Stability control system status,N/A,-5000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
750,Stability control system status,N/A,-4500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
751,Stability control system status,N/A,-4000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
752,Stability control system status,N/A,-3500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
753,Stability control system status,N/A,-3000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
754,Stability control system status,N/A,-2500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
755,Stability control system status,N/A,-2000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
756,Stability control system status,N/A,-1500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
757,Stability control system status,N/A,-1000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
758,Stability control system status,N/A,-500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
759,Stability control system status,N/A,0,"0: On, 1: Engaged, 2: Off, 3: Faulted"
760,Traction control system status,N/A,-5000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
761,Traction control system status,N/A,-4500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
762,Traction control system status,N/A,-4000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
763,Traction control system status,N/A,-3500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
764,Traction control system status,N/A,-3000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
765,Traction control system status,N/A,-2500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
766,Traction control system status,N/A,-2000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
767,Traction control system status,N/A,-1500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
768,Traction control system status,N/A,-1000,"0: On, 1: Engaged, 2: Off, 3: Faulted"
769,Traction control system status,N/A,-500,"0: On, 1: Engaged, 2: Off, 3: Faulted"
770,Traction control system status,N/A,0,"0: On, 1: Engaged, 2: Off, 3: Faulted"
771,Pre-event synchronization timer,ms,N/A,E=N
772,Pre-event synchronization timer,ms,N/A,Subsequent
